Category,Item,Owner,Status,Notes
Corporate,Certificate of Formation,Legal,Pending,
Corporate,Operating Agreement,Legal,Pending,
Corporate,Cap Table,Finance,Pending,
Corporate,Board/Manager Consents,Legal,Pending,
Corporate,IP Assignment Agreements,Legal,Pending,
Corporate,Material Contracts Register,Legal,Pending,
Financial,Historical P&L (monthly),Finance,Pending,
Financial,Balance Sheet (monthly),Finance,Pending,
Financial,Cash Flow Statement (monthly),Finance,Pending,
Financial,24-Month Financial Model,Finance,Pending,
Financial,Bank Statements (12 months),Finance,Pending,
Financial,Tax Filings,Finance,Pending,
Product & GTM,KPI Dashboard Export,Ops,Pending,
Product & GTM,Cohort Retention Analysis,Ops,Pending,
Product & GTM,Funnel Conversion Analysis,Ops,Pending,
Product & GTM,GTM Channel Breakdown,Growth,Pending,
Product & GTM,Customer Case Studies,Growth,Pending,
Legal & Compliance,Terms of Service (counsel-reviewed),Legal,Pending,
Legal & Compliance,Privacy Policy (counsel-reviewed),Legal,Pending,
Legal & Compliance,Data Retention Policy,Legal,Pending,
Legal & Compliance,Support Scope SOP,Ops,Pending,
Legal & Compliance,Risk Register,Ops,Pending,
Security,Security Architecture Overview,Engineering,Pending,
Security,Access Control Matrix,Engineering,Pending,
Security,Incident Response Plan,Engineering,Pending,
Security,Penetration Test Summary,Engineering,Pending,
Security,Vendor/Subprocessor List,Ops,Pending,
Operations,Org Chart,People,Pending,
Operations,Hiring Plan (12 months),People,Pending,
Operations,Product Roadmap (2-4 quarters),Product,Pending,
Operations,Deployment and Recovery Playbook,Engineering,Pending,
